Category,Subcategory,Service Name,Phone Number,Physical Address,Hours of operation,Description,Wheelchair access (y),Language Help (y),Web address,Email Address
Basic Needs,Essential Crisis Lines,,,,,,,,,
Essential Crisis Lines,Emergencies,911,911,,24/7,Emergencies only,,,,
Essential Crisis Lines,Emergencies,CAHOOTS -- Eugene only,541-682-5111,,24/7,"Provides on site care for mental health or substance abuse emergencies, conflict resolution/mediation, transport to other agencies, deals with housing crises and first aid. Dispatched by police non-emergency line.",,,,
Essential Crisis Lines,Emergencies,CAHOOTS-- Springfield only,541-726-3714,,24/7,"Provides on site care for mental health or substance abuse emergencies, conflict resolution/mediation, transport to other agencies, deals with housing crises and first aid. Dispatched by police non-emergency line.",,,,
Essential Crisis Lines,Emergencies,Child Abuse: National Child Abuse Hotline,1-800-422-4453,,24/7,National Child Abuse Hotline,,,,
Essential Crisis Lines,Emergencies,Thoughts of Suicide: National Suicide Prevention Lifeline,1-800-273-8255,,24/7,National Suicide Prevention Lifeline,,,,
Essential Crisis Lines,Emergencies,"Domestic Violence, Sexual assault, stalking: Womenspace 24-hr. Hotline",541-485-6513,,24/7,"24/7 crisis line for all victims and survivors of domestic violence, intimate partner violence, sexual assault and stalking in Lane County.",,,,
Essential Crisis Lines,Emergencies,"Runaways, homeless youth: *Looking Glass Crisis Response Line",1-888-989-9990,,24/7,24 hour crisis prevention helpline for families with children or homeless youth ages 17 and under,,,,
Essential Crisis Lines,Emergencies,Trans Lifeline,877-565-8860,,7 days 7am-1am,Provides peer counseling for transgendered individuals in crisis.,,,,
Essential Crisis Lines,Emergencies,Trevor Lifeline,1-866-488-7386,,24/7,"A crisis intervention and suicide prevention phone service for LGBTQIA. Or, text “START” to 678678 (standard text messaging rates apply).",,,,
Essential Crisis Lines,Emergencies,White Bird 24/7 Crisis Line,"541-687-4000, 1-800-422-7558",,24/7,"Crisis intervention, mental health referral and transportation assistance for people with mental health needs in Eugene or Springfield without homes.",,,,
Basic Needs,Bedding,,,,,,,,,
Basic Needs,Bedding,First Christian Church - Helping Hand Room,541-344-1425,"1166 Oak St. Eugene, OR, 97401",TTh 12-2pm,"Provides clothing for all ages, including baby clothes, kitchen items, and bedding to those in need. Items are used and in good condition.",y,y,www.heartofeugene.org,
Basic Needs,Bedding,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402",M-F 8am-5pm,"The Eugene Service Station provides vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items. They also provide day shelter, meals, bathrooms, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter.",y,y,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Bathrooms,,,,,,,,,
Basic Needs,Bathrooms,Department of Human Services,541-686-7722,"2101 W. 11 th Ave., Eugene",M-F 7AM - 6PM,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,-,
Basic Needs,Bathrooms,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8AM - 5PM,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery. ",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Basic Needs,Bathrooms,G-Street Oasis,541-214-0260,"1175 G St., Springfield",M-F 9AM - 3PM,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",,,https://www.ccslc.org/g-street-oasis,
